game,session,track,car,lap,start,end,time,length,valid
iRacing,1673613841,sebring international,Ferrari 488 GT3 Evo 2020,2,2023-01-13 13:52:51.245690+00:00,2023-01-13 13:54:52.610830+00:00,121.3862,5789,True
iRacing,1673613841,sebring international,Ferrari 488 GT3 Evo 2020,1,2023-01-13 13:50:49.225391+00:00,2023-01-13 13:52:51.229254+00:00,122.04097,5789,True
iRacing,1673343228,sebring international,Ferrari 488 GT3 Evo 2020,3,2023-01-10 10:46:16.575004+00:00,2023-01-10 10:48:19.027229+00:00,122.483063,5789,True
iRacing,1673614655,sebring international,Ferrari 488 GT3 Evo 2020,7,2023-01-13 14:14:33.189784+00:00,2023-01-13 14:16:35.711448+00:00,122.550163,5789,True
iRacing,1673613001,sebring international,Ferrari 488 GT3 Evo 2020,4,2023-01-13 13:43:42.877142+00:00,2023-01-13 13:45:45.493879+00:00,122.641083,5789,True
iRacing,1673546524,sebring international,Ferrari 488 GT3 Evo 2020,2,2023-01-12 19:04:21.108486+00:00,2023-01-12 19:06:23.740160+00:00,122.654236,5790,True
iRacing,1673546524,sebring international,Ferrari 488 GT3 Evo 2020,5,2023-01-12 19:10:34.926397+00:00,2023-01-12 19:12:37.571374+00:00,122.6813,5789,True
iRacing,1673614655,sebring international,Ferrari 488 GT3 Evo 2020,3,2023-01-13 14:06:19.669091+00:00,2023-01-13 14:08:22.418395+00:00,122.779564,5788,True
iRacing,1673613001,sebring international,Ferrari 488 GT3 Evo 2020,3,2023-01-13 13:41:39.903245+00:00,2023-01-13 13:43:42.843428+00:00,122.970581,5788,True
iRacing,1673693044,sebring international,Ferrari 488 GT3 Evo 2020,1,2023-01-14 11:51:00.571766+00:00,2023-01-14 11:53:03.660753+00:00,123.1016,5789,True
iRacing,1670613429,sebring international,BMW M Hybrid V8,3,2022-12-09 19:25:59.820172+00:00,2022-12-09 19:27:53.227665+00:00,113.4179,5788,True
iRacing,1670613429,sebring international,BMW M Hybrid V8,2,2022-12-09 19:24:04.284258+00:00,2022-12-09 19:25:59.787296+00:00,115.536667,5787,True
iRacing,1670613429,sebring international,BMW M Hybrid V8,1,2022-12-09 19:22:06.789624+00:00,2022-12-09 19:24:04.253315+00:00,117.500137,5788,True
